scenario,classifier,batch_balance,normalization,repeat_id,split,error
jama_scenario1_3,lasso,True,mn,3,90,0.173992673992674
jama_scenario1_3,lasso,True,non,3,90,0.159340659340659
jama_scenario1_3,lasso,True,qn,3,90,0.227106227106227
jama_scenario1_3,lasso,True,vsn,3,90,0.234432234432234
jama_scenario1_3,lasso,True,mn,1,100,0.21651376146789
jama_scenario1_3,lasso,True,non,1,100,0.212844036697248
jama_scenario1_3,lasso,True,qn,1,100,0.223853211009174
jama_scenario1_3,lasso,True,vsn,1,100,0.229357798165138
jama_scenario1_3,lasso,True,mn,2,100,0.188990825688073
jama_scenario1_3,lasso,True,non,2,100,0.185321100917431
jama_scenario1_3,lasso,True,qn,2,100,0.220183486238532
jama_scenario1_3,lasso,True,vsn,2,100,0.209174311926606
jama_scenario1_3,lasso,True,mn,3,100,0.255045871559633
jama_scenario1_3,lasso,True,non,3,100,0.187155963302752
jama_scenario1_3,lasso,True,qn,3,100,0.288073394495413
jama_scenario1_3,lasso,True,vsn,3,100,0.401834862385321
jama_scenario1_3,pam,True,mn,1,50,0.168498168498169
jama_scenario1_3,pam,True,non,1,50,0.194139194139194
jama_scenario1_3,pam,True,qn,1,50,0.192307692307692
jama_scenario1_3,pam,True,vsn,1,50,0.179487179487179
jama_scenario1_3,pam,True,mn,2,50,0.195970695970696
jama_scenario1_3,pam,True,non,2,50,0.214285714285714
jama_scenario1_3,pam,True,qn,2,50,0.192307692307692
jama_scenario1_3,pam,True,vsn,2,50,0.197802197802198
jama_scenario1_3,pam,True,mn,3,50,0.159340659340659
jama_scenario1_3,pam,True,non,3,50,0.205128205128205
jama_scenario1_3,pam,True,qn,3,50,0.159340659340659
jama_scenario1_3,pam,True,vsn,3,50,0.157509157509158
jama_scenario1_3,pam,True,mn,1,70,0.1996336996337
jama_scenario1_3,pam,True,non,1,70,0.201465201465201
jama_scenario1_3,pam,True,qn,1,70,0.201465201465201
jama_scenario1_3,pam,True,vsn,1,70,0.201465201465201
jama_scenario1_3,pam,True,mn,2,70,0.166666666666667
jama_scenario1_3,pam,True,non,2,70,0.194139194139194
jama_scenario1_3,pam,True,qn,2,70,0.172161172161172
