	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3
50	0.124542124542125	0.133699633699634	0.10989010989011	0.119047619047619	0.153846153846154	0.146520146520147	0.139194139194139	0.139194139194139	0.124542124542125	0.106227106227106	0.104395604395604	0.117216117216117
70	0.133699633699634	0.126373626373626	0.135531135531136	0.139194139194139	0.124542124542125	0.13003663003663	0.131868131868132	0.163003663003663	0.117216117216117	0.128205128205128	0.137362637362637	0.126373626373626
80	0.143119266055046	0.152293577981651	0.132110091743119	0.148623853211009	0.121100917431193	0.132110091743119	0.128440366972477	0.161467889908257	0.157798165137615	0.157798165137615	0.170642201834862	0.165137614678899
90	0.188644688644689	0.184981684981685	0.163003663003663	0.19047619047619	0.153846153846154	0.155677655677656	0.139194139194139	0.212454212454212	0.164835164835165	0.179487179487179	0.184981684981685	0.188644688644689
100	0.212844036697248	0.256880733944954	0.264220183486239	0.26605504587156	0.188990825688073	0.326605504587156	0.264220183486239	0.242201834862385	0.177981651376147	0.258715596330275	0.322935779816514	0.311926605504587
