	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3
50	0.104395604395604	0.13003663003663	0.104395604395604	0.102564102564103	0.120879120879121	0.13003663003663	0.124542124542125	0.13003663003663	0.104395604395604	0.0970695970695971	0.104395604395604	0.108058608058608
70	0.106227106227106	0.146520146520147	0.119047619047619	0.115384615384615	0.0934065934065934	0.111721611721612	0.102564102564103	0.10989010989011	0.100732600732601	0.142857142857143	0.111721611721612	0.119047619047619
80	0.124770642201835	0.15045871559633	0.121100917431193	0.130275229357798	0.106422018348624	0.115596330275229	0.115596330275229	0.119266055045872	0.143119266055046	0.174311926605505	0.163302752293578	0.190825688073395
90	0.119047619047619	0.177655677655678	0.141025641025641	0.175824175824176	0.128205128205128	0.15018315018315	0.13003663003663	0.146520146520147	0.159340659340659	0.227106227106227	0.173992673992674	0.234432234432234
100	0.212844036697248	0.223853211009174	0.21651376146789	0.229357798165138	0.185321100917431	0.220183486238532	0.188990825688073	0.209174311926606	0.187155963302752	0.288073394495413	0.255045871559633	0.401834862385321
