	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3
50	0.0842490842490843	0.108058608058608	0.10989010989011	0.124542124542125	0.131868131868132	0.139194139194139	0.122710622710623	0.142857142857143	0.122710622710623	0.0952380952380952	0.117216117216117	0.117216117216117
70	0.133699633699634	0.117216117216117	0.115384615384615	0.142857142857143	0.106227106227106	0.108058608058608	0.113553113553114	0.124542124542125	0.124542124542125	0.133699633699634	0.115384615384615	0.113553113553114
80	0.139449541284404	0.124770642201835	0.143119266055046	0.15045871559633	0.121100917431193	0.102752293577982	0.124770642201835	0.122935779816514	0.146788990825688	0.157798165137615	0.143119266055046	0.143119266055046
90	0.183150183150183	0.194139194139194	0.184981684981685	0.186813186813187	0.135531135531136	0.157509157509158	0.148351648351648	0.175824175824176	0.166666666666667	0.19047619047619	0.216117216117216	0.177655677655678
100	0.211009174311927	0.28256880733945	0.269724770642202	0.231192660550459	0.187155963302752	0.280733944954128	0.273394495412844	0.223853211009174	0.176146788990826	0.278899082568807	0.253211009174312	0.306422018348624
