	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3
50	0.153846153846154	0.100732600732601	0.0897435897435897	0.0897435897435897	0.181318681318681	0.152014652014652	0.124542124542125	0.141025641025641	0.148351648351648	0.0952380952380952	0.0824175824175824	0.0860805860805861
70	0.148351648351648	0.124542124542125	0.111721611721612	0.120879120879121	0.146520146520147	0.119047619047619	0.108058608058608	0.126373626373626	0.159340659340659	0.106227106227106	0.102564102564103	0.102564102564103
80	0.148623853211009	0.135779816513761	0.108256880733945	0.132110091743119	0.144954128440367	0.115596330275229	0.111926605504587	0.124770642201835	0.176146788990826	0.130275229357798	0.132110091743119	0.121100917431193
90	0.183150183150183	0.179487179487179	0.172161172161172	0.173992673992674	0.144688644688645	0.153846153846154	0.15018315018315	0.161172161172161	0.172161172161172	0.157509157509158	0.142857142857143	0.146520146520147
100	0.212844036697248	0.271559633027523	0.23302752293578	0.24954128440367	0.187155963302752	0.256880733944954	0.225688073394495	0.238532110091743	0.18348623853211	0.310091743119266	0.328440366972477	0.262385321100917
