	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3
50	0.111721611721612	0.108058608058608	0.119047619047619	0.102564102564103	0.152014652014652	0.146520146520147	0.152014652014652	0.144688644688645	0.128205128205128	0.0989010989010989	0.0934065934065934	0.0970695970695971
70	0.148351648351648	0.141025641025641	0.137362637362637	0.135531135531136	0.128205128205128	0.13003663003663	0.126373626373626	0.133699633699634	0.128205128205128	0.133699633699634	0.119047619047619	0.120879120879121
80	0.161467889908257	0.141284403669725	0.146788990825688	0.141284403669725	0.121100917431193	0.130275229357798	0.130275229357798	0.132110091743119	0.161467889908257	0.139449541284404	0.128440366972477	0.139449541284404
90	0.195970695970696	0.197802197802198	0.203296703296703	0.192307692307692	0.148351648351648	0.155677655677656	0.152014652014652	0.163003663003663	0.175824175824176	0.183150183150183	0.181318681318681	0.183150183150183
100	0.218348623853211	0.352293577981651	0.354128440366972	0.385321100917431	0.192660550458716	0.35045871559633	0.352293577981651	0.379816513761468	0.201834862385321	0.460550458715596	0.471559633027523	0.497247706422018
