	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3
50	0.194139194139194	0.192307692307692	0.168498168498169	0.179487179487179	0.214285714285714	0.192307692307692	0.195970695970696	0.197802197802198	0.205128205128205	0.159340659340659	0.159340659340659	0.157509157509158
70	0.201465201465201	0.201465201465201	0.1996336996337	0.201465201465201	0.194139194139194	0.172161172161172	0.166666666666667	0.179487179487179	0.192307692307692	0.203296703296703	0.192307692307692	0.203296703296703
80	0.201834862385321	0.2	0.198165137614679	0.198165137614679	0.190825688073395	0.168807339449541	0.144954128440367	0.174311926605505	0.198165137614679	0.207339449541284	0.190825688073395	0.207339449541284
90	0.203296703296703	0.208791208791209	0.21978021978022	0.227106227106227	0.192307692307692	0.186813186813187	0.205128205128205	0.188644688644689	0.355311355311355	0.247252747252747	0.236263736263736	0.265567765567766
100	0.414678899082569	0.278899082568807	0.291743119266055	0.267889908256881	0.185321100917431	0.205504587155963	0.256880733944954	0.299082568807339	0.412844036697248	0.211009174311927	0.222018348623853	0.222018348623853
